tidak_baku,bentuk_baku
kubung,pukang
kucandan,kecandan
kucindan,kecandan
kucung,kocong
kucup,kecup
kucut,kecut
kudi,kodi
kudil,kudis
kueni,kuweni
kuetiau,kwetiau
kuing,kaing
kuini,kuweni
kuisioner,kuesioner
kuja,khojah
kukang,kungkang
kukuk,kokok
kukul,kokol
kukut,kokot
kulambai,kelambai
kulari,kelari
kuldi,khuldi
kulikat,kelikat
kulintang,kolintang
kulio,kalio
kulkulah,kalkalah
kuma-kuma,kurkuma
kumala,kemala
kumango,kumanga
kumat,komat-kamit
kumayan,kemenyan
kumbara,kembara
kumel,kumal
kumkuma,kurkuma
kumlah,hukumullah
kumpal,gumpal
kuna,kuno
kuncit,kucir
kuningisasi,penguningan
kuotum,kuota
kup,kudeta
kupel,kopel
kupu,kufu
kuruyuk,kukuruyuk
kus,dekus
kusen,kosen
kusti,gusti
kusuk,khusuk
kutbah,khotbah
kutek,kuteks
kutika,ketika
kuwalat,kualat
kuyam,koyam
kwaci,kuaci
kwalitas,kualitas
kwantitas,kuantitas
kwartet,kuartet
kweni,kuweni
kwetansi,kuitansi
kwintal,kuintal
kwitansi,kuitansi
kwiz,kuis
kyai,kiai
labah-labah,laba-laba
labrang,laberang
lahat,lahad
lahip,daif
lailat,lailah
lailatulkadar,lailatulqadar
laip,daif
lajim,lazim
laka,lak
lakri,lakeri
laksmana,laksamana
lalalat,dalalat
lalang,langlang
lalim,zalim
laminah,lamina
lamosir,lamusir
lampoyangan,lempuyangan
lanca,lancia
lancit,lencit
lancung,lancong
landai,lendaian
lang,elang
langak-languk,langak-longok
langca,lancia
langcia,lancia
langkara,lengkara
langkitang,lengkitang
langsang,langseng
langsep,langsat
languh,lenguh
lanjang,telanjang
lansai,langsai
lansar,langsar
lansat,langsat
lansekap,lanskap
lansi,langsi
lansir,langsir
lantera,lentera
laoteng,loteng
lapad,lafaz
lapal,lafal
lapan,delapan
lapaz,lafal
lapo,lepau
lapur,lapor
larak,lerak
lasit,lesit
lasykar,laskar
latang,jelatang
lawe,lawai
lazat,lezat
lebay,lebai
leber,luber
lebur,debur
lecer,lecet
ledeng,leding
legah,lega
legalisir,legalisasi
legam,legum
legojo,algojo
legowo,legawa
legundi,lenggundi
lehar,rehal
lekah,rekah
lekar,rehal
lekemia,leukemia
lekosit,leukosit
lelabah,laba-laba
lelabi,labi-labi
lelak,rerak
lelangse,langsai
lelawa,kelelawar
leli,lili
lelung,lelang
lembab,lembap
lembam,lebam
lemban,lembam
lembega,rembega
lembik,lembek
lembung,lambung
lembur,limbur
lemburu,lemuru
lembusir,lemusir
lemidang,lembidang
lempah,limpah
lempam,lempem
lempang,lempeng
lempedu,empedu
lempenai,lampeni
lempeni,lampeni
lempoh,lempuh
lempok,lempuk
lemukat,melukut
lemukut,melukut
lemungsir,lemusir
lenan,linen
lenceng,lencang
lencet,lecet
lender,lendir
lenga,bijan
lengau,langau
lenger,lengar
lenggara,selenggara
lengkas,langkas
lengkiang,rangkiang
lenser,lengser
lenset,lengset
lentun,lantun
leontin,liontin
lepet,lepat
leplap,liplap
lepuk,lapuk
leram,deram
lerik,derik
lerum,derum
les,lis
lesah,lasah
lesak,lasak
lesat,pelesat
lesau,desau
lesek,lasak
leset,peleset
lesih,lesi
lesus,desus
letek,peletek
letur,lentur
leukimia,leukemia
leusin,leusina
libereto,libreto
likuifaksi,likuefaksi
limbat,lembat
limfopenia,limfositopenia
limonade,limun
linan,linen
lingerie,lingeri
linggam,sedelinggam
linotip,linotipe
lintadu,sentadu
lisin,lisina
liver,lever
liwat,lewat
lobang,lubang
logotip,logotipe
loh,lauh
loha,duha
lohor,zuhur
lokalisir,lokalisasi
loktong,loki
lomie,lomi
losin,lusin
lotere,lotre
loyo,loya
luasa,leluasa
lubur,belubur
luhak,luak
lukut,melukut
lung,long
lup,lop
ma,mak
maag,mag
mabir,tabir
mabok,mabuk
macat,macet
mada,madar
madaliun,medalion
madarat,mudarat
madarsah,madrasah
maddah,madah
madi,mazi
madia,madya
maesan,nisan
magep-magep,megap-megap
magfirat,magfirah
maghrib,magrib
magik,magis
magobi,mahoni
mahaligai,mahligai
mahbubat,mahbubah
mahful,mahfuz
mahisa,mahesa
mahluk,makhluk
mahraj,makhraj
mahrib,magrib
mahsar,mahsyar
mahsyur,masyhur
mairat,mikraj
mait,mayat
maja-muju,jemuju
majer,majir
majilis,majelis
majlis,majelis
makas,mangkas
makena,mukena
makota,mahkota
makroni,makaroni
makyung,makyong
malaik,malaikat
malak,malaikat
malakulmaut,malaikatulmaut
malangkamo,simalakama
malau,embalau
malaun,malun
malfungsi,malafungsi
malin,malim
mall,mal
malnutrisi,malanutrisi
malpraktek,malapraktik
malpraktik,malapraktik
mamar,mamang
mamat,mamut
mampat,pampat
mampet,pampat
mana kala,manakala
managemen,manajemen
manager,manajer
mancis,macis
mancit,mencit
mancur,pancur
mandah,manda
mandarsah,madrasah
mandiang,mendiang
mandulika,mandalika
mandur,mandor
manekin,maneken
mangkah,mangkar
mangkal,pangkal
mangkara,makara
mangkin,makin
mangkok,mangkuk
mangsai,masai
manikin,maneken
mantab,mantap
mantari,mentari
mantera,mantra
manti,menteri
mantol,mantel
mantram,mantra
mapak,papak
marathon,maraton
marbot,marbut
marhum,almarhum
marhumah,almarhumah
marihuana,mariyuana
marikan,merikan
marjin,margin
marjinal,marginal
marjinalisasi,marginalisasi
marka,markah
marmar,marmer
marmut,marmot
marwah,muruah
marzipan,marsepen
masal,massal
masalah,masyaallah
masarakat,masyarakat
masgul,masygul
mashaf,mushaf
mashur,masyhur
masin,mesin
masori,masohi
masoyi,masoi
masya allah,masyaallah
masyakat,masyakah
masyhaf,mashaf
mat,emat
mata hari,matahari
mataliur,mitraliur
mateng,matang
materai,meterai
materiil,materiel
materil,materiel
matres,matris
maulaya,maulai
mawar,tawar
mawat,mati
mayar,kelemayar
mayit,mayat
mbeling,beling
mecis,macis
medeli,medali
medinah,madinah
meduk,medok
megapolis,megalopolis
megapolitan,megalopolitan
mejan,nisan
mejelis,majelis
mejen,mejan
mekah,makkah
mekis,mengkis
mekkah,makkah
melaka,malaka
melambing,melambang
melapari,malapari
melarat,larat
melerang,belerang
melesat,pelesat
meleset,peleset
meling,meleng
melpari,malapari
membang,mambang
membruk,mambruk
memengkis,pekis
memerang,memberang
memerhatikan,memperhatikan
memeroleh,memperoleh
meminimalisir,meminimalkan
mempacari,memacari
mempacu,memacu
mempadamkan,memadamkan
mempadankan,memadankan
mempadati,memadati
mempadatkan,memadatkan
mempagari,memagari
mempahami,memahami
mempahamkan,memahamkan
mempailitkan,memailitkan
mempajaki,memajaki
mempaket,memaket
mempaketkan,memaketkan
mempaksa,memaksa
mempaku,memaku
mempalak,memalak
mempalang,memalang
mempalingkan,memalingkan
mempalsukan,memalsukan
mempamerkan,memamerkan
mempamitkan,memamitkan
mempaparkan,memaparkan
memparafrasakan,memarafrasakan
memparodikan,memarodikan
mempedal,empedal
mempedulikan,memedulikan
mempengaruhi,memengaruhi
mempercayai,memercayai
mempercayakan,memercayakan
memperkarai,memerkarai
memperkarakan,memerkarakan
memperkosa,memerkosa
mempesona,memesona
mempolisikan,memolisikan
mempopulerkan,memopulerkan
memposisikan,memosisikan
mempublikasikan,memublikasikan
memur,memar
menalu,benalu
menasabah,munasabah
menasah,meunasah
menat,minat
menatu,penatu
mencok,menclok
mencontek,menyontek
mencret,menceret
mendali,medali
mendalika,mandalika
mendalu,benalu
mendeleka,mandalika
mendelika,mandalika
mendem,mendam
mendepun,depun
mendera,mendira
menderang,benderang
mendora,mendura
mendreng,mindring
mendusin,dusin
menejemen,manajemen
menepaat,manfaat
menertawakan,mentertawakan
mengeh,mengi
mengeliminir,mengeliminasi
mengerti,erti
menget,senget
menggerib,magrib
menggoes,menggowes
menggrebek,menggerebek
menggrendel,menggerendel
menghimbau,mengimbau
mengkampanyekan,mengampanyekan
mengkar,mekar
mengkara,makara
mengkarantina,mengarantina
mengkarung,bengkarung
mengkategorikan,mengategorikan
mengkawan,bengkawan
mengkel,mengkal
mengkerat,mengkeret
mengkerut,mengerut
mengkilap,kilap
mengkilat,mengilat
mengkirik,kirik
mengkobarkan,mengobarkan
mengkodekan,mengodekan
mengkompensasi,mengompensasi
mengkomunikasikan,mengomunikasikan
mengkondisikan,mengondisikan
mengkonfirmasi,mengonfirmasi
mengkonsolidasikan,mengonsolidasikan
mengkonsultasikan,mengonsultasikan
mengkonsumsi,mengonsumsi
mengkoordinasikan,mengoordinasikan
mengkotak-kotakkan,mengotak-ngotakkan
mengkuang,bengkuang
mengok,mengot
mengor,mengot
mengsong,mengsol
menikam,manikam
menila,manila
menira,manira
menjak,semenjak
menjana,semenjana
menjelai,enjelai
menjelis,majelis
menraktir,mentraktir
menraktor,mentraktor
menransfer,mentransfer
menransformasi,mentransformasi
menransformasikan,mentransformasikan
menransmisikan,mentransmisikan
menransplantasikan,mentransplantasikan
mensabotase,menyabotase
mensahkan,mengesahkan
mensejahterakan,menyejahterakan
mensejajarkan,menyejajarkan
mensiasati,menyiasati
mensikapi,menyikapi
mensimulasikan,menyimulasikan
mensinergikan,menyinergikan
mensinkronkan,menyinkronkan
mensinyalir,menyinyalir
mensiu,mesiu
mensomasi,menyomasi
mensortir,menyortir
mensosialisasikan,menyosialisasikan
mensubsidi,menyubsidi
mensucikan,menyucikan
mensugesti,menyugesti
mensukseskan,menyukseskan
menta,meta
mentaati,menaati
mentadaburi,menadaburi
mentakdirkan,menakdirkan
mentato,menato
mentelah,sementelah
menterjemahkan,menerjemahkan
menteros,matros
mentika,mestika
mentoleransi,menoleransi
mentri,menteri
mentua,mertua
menturung,benturung
menyampang,senyampang
menyan,kemenyan
menyawak,biawak
menyetok,menstok
menyicil,mencicil
meram,merem
merbak,semerbek
merbot,marbut
merca,murca
mercapada,marcapada
mercun,mercon
mercupada,marcapada
merekan,merikan
mereng,miring
merguk,berguk
merjer,merger
merk,merek
merkah,rekah
merlilin,melilin
merpelai,mempelai
mertega,mentega
meruah,muruah
merual,merawal
mesigit,masjid
mesjid,masjid
meskat,maskat
mesta,semesta
mesui,masoi
metafisik,metafisika
metastase,metastasis
metionin,metionina
metoda,metode
metonimi,metonimia
mezbah,mazbah
mi'raj,mikraj
midik,sidik
mie,mi
mikroba,mikrob
mikroskopik,mikroskopis
milioner,miliuner
miliyar,miliar
milyar,miliar
mim,meme
minantu,menantu
minatu,penatu
minimalisir,minimalisasi
mirai,tirai
misua,misoa
mocok,pocok
moderen,modern
mondok,pondok
mong,mung
mongkor,mungkur
morak-marik,morat-marit
moril,morel
mortuaria,mortuarium
motto,moto
mozah,mojah
mozaik,mosaik
mrakih,merakeh
muadin,muazin
muadzin,muazin
muasal,asal
mucikari,muncikari
mudakar,muzakar
mudasir,dasar
muhrim,mahram
mujizat,mukjizat
muk,mok
mukenah,mukena
mulat,mulato
mules,mulas
mumur,hancur
muna,muno
munajah,munajat
muncung,moncong
mungguk,munggu
munggur,mungkur
munisi,amunisi
mupaham,mufaham
mupakat,mufakat
muparik,mufarik
murat-marit,morat-marit
musabakah,musabaqah
musafar,musafir
musalla,musala
musawarah,musyawarah
mushala,musala
mushola,musala
musi,mungsi
musium,museum
musola,musala
muson,monsun
mustami,mustamik
musti,mesti
mustika,mestika
musyafir,musafir
musyawarat,musyawarah
musykil,muskil
mutabar,muktabar
mutahir,mutakhir
mutamad,muktamad
muwarikh,muarikh
muzhab,mazhab
na,nah
naas,nahas
nadar,nazar
nadirat,nadir
nafas,napas
nagara,nekara
nahkoda,nakhoda
nahwu,nahu
najasat,najasah
nak,hendak
nakoda,nakhoda
nalih,nali
nampak,tampak
nampal,napal
nanda,ananda
nangkoda,nakhoda
napi,nafi
napsi,nafsi
napsu,nafsu
narawastu,narwastu
narestu,narwastu
narkotik,narkotika
narpati,narapati
narsis,narsistik
nasehat,nasihat
nayaga,niyaga
nazir,nadir
neces,necis
negari,nagari
negoisasi,negosiasi
negri,negeri
neka,aneka
nekad,nekat
nekel,nikel
nenar,nanar
nenekanda,nenenda
neonisasi,peneonan
netralisir,netralisasi
netto,neto
ninitowong,ninitowok
nipas,nifas
niru,nyiru
niur,nyiur
nomer,nomor
nonoh,senonoh
nopember,november
nosel,nozel
notulen,notula
notulensi,notula
nurmala,nirmala
nusyu,nusyuz
nyah,enyah
nyampang,senyampang
nyenyet,nyenyat
nyonyot,nyunyut
objektifitas,objektivitas
obrak-abrik,ubrak-abrik
obyek,objek
obyektif,objektif
obyektifitas,objektivitas
obyektivisme,objektivisme
obyektivitas,objektivitas
ojah,oja
ojeg,ojek
oktan,oktana
olah raga,olahraga
olia,aulia
omnivora,omnivor
omset,omzet
on,ons
onta,unta
onyak-anyik,onyah-anyih
opau,pao-pao
open,oven
oplet,opelet
orasio,orasi
oreol,aureol
organisir,organisasi
original,orisinal
orisinil,orisinal
ornitin,ornitina
oseng,gongseng
osing,using
otentik,autentik
otentikasi,autentikasi
otoaktivitas,autoaktivitas
otobiografi,autobiografi
otodidak,autodidak
otograf,autograf
otografi,autografi
otoklaf,autoklaf
otokrasi,autokrasi
otokrat,autokrat
otokritik,autokritik
otomasi,automasi
otopsi,autopsi
otorita,otoritas
otoritet,otoritas
ovari,ovarium
pacak,pacek
pacat,pacet
pacis,pacih
padepokan,pedepokan
padusi,pedusi
paedah,faedah
pah,pak
pahing,paing
pakat,pekat
pakbon,vakbon
pake,pakai
pakir,fakir
palahlar,pelahlar
palasik,pelesit
pali,pemali
palit,pailit
palm,palem
palma,palem
palmit,palmin
pamungkas,pemungkas
panganan,penganan
panili,vanili
panitra,panitera
panjer,panjar
panu,panau
papat,pepat
parafrase,parafrasa
parahyangan,parahiyangan
paraid,faraid
parampara,paranpara
parap,paraf
paria,peria
parji,farji
parlente,perlente
paro,paruh
partial,parsial
pas foto,pasfoto
pasah,fasakh
pasanggrahan,pesanggrahan
pasara,pusara
paset,faset
pasik,fasik
pasirah,pesirah
paska-,pasca-
pastori,pastoran
pastur,pasteur
pateram,petaram
patikim,tikim
patung,sepatung
payir,pair
pebruari,februari
pecah beling,kejibeling
pecal,pecel
pecok,pecak
pedagogik,pedagogis
pedah,padah
pedal,empedal
pedu,empedu
pegawam,peguam
pekah,nafkah
pekam,pakem
pekatul,bekatul
pekir,fakir
pekong,toapekong
pekuburan,perkuburan
pekur,tafakur
pelaga,kapulaga
pelangkin,belangkin
pelapah,pelepah
pelbaya,pelebaya
pelembaya,pelebaya
pelempap,telempap
pelok,peluk
pelopak,kelopak
peluh,peloh
pelungpung,pelumpung
pematah,pepatah
pemindang,pemidang
pen,pena
penaga,menaga
penak,pinak
pendapa,pedapa
penganten,pengantin
penggrebekan,penggerebekan
pengklon,pengklonaan
pengkodean,pengodean
pengkondisian,pengondisian
pengkoordinasian,pengoordinasian
pengkudetaan,pengudetaan
penglaris,pelaris
pengrajin,perajin
peniaram,penaram
pentilasi,ventilasi
penyakit,tangan
perancah,perencah
perancis,prancis
perancit,pancit
perang,pirang
peranggi,peringgi
perangko,prangko
perbahasa,peribahasa
perbegu,pelebegu
perduli,peduli
perengkat,peringkat
pergat,fregat
pergata,fregat
pergul,pergol
peribadi,pribadi
perihatin,prihatin
perji,farji
perlintih,perlenteh
pernekel,pernikel
pernel,flanel
perop,prop
perpu,perppu
perselah,perslah
persero,pesero
personil,personel
perugul,perogol
perwatin,batin
pesara,pasar
pesemendan,pasumandan
peset,pesek
pesok,pesuk
pestol,pistol
pete,petai
petek,pepetek
peyang,peang
phi,fi
photo,foto
photokopi,fotokopi
picah,pica
pici,peci
pidada,pedada
pikup,pikap
pinalti,penalti
pinas,penes
pinding,kepinding
pingkel,pingkal
pinguin,penguin
pinis,penes
pinjak,pijak
pinsil,pensil
pir,per
piranti,peranti
pirasat,firasat
pirsawan,pemirsa
piruk,hiruk
pisak,pesak
pisit,pisik
pitah,petah
pitih,pitis
piting,kepiting
pitrah,fitrah
piyama,piama
planel,flanel
plat,pelat
podak,pandan
pol,pul
polis,poles
polmak,polmah
polonter,volunter
pompong,kepompong
pondamen,fundamen
pondasi,fondasi
ponok,punuk
popular,populer
port,porta
porter,portir
posfor,fosfor
poto,foto
prabawa,perbawa
prada,perada
praktek,praktik
predatori,predatoris
presentase,persentase
presidentil,presidensial
prihal,perihal
prilaku,perilaku
pringas-pringis,prangas-pringis
prinsipal,prinsipiel
prive,privat
priyagung,priagung
priyayi,priayi
produktifitas,produktivitas
progresifitas,progresivitas
projek,proyek
proklamir,proklamasi
prolin,prolina
propinsi,provinsi
prosen,persen
prosentase,persentase
provokatur,provokator
publisir,publikasi
puerperium,puerpera
puitik,puitis
pukang,kungkang
pul,pol
pules,pulas
puling,pialing
pulpa,pulp
pulus,fulus
punggawa,penggawa
pungkir,mungkir
purin,purina
puring,furing
pusa,puso
puser,pusar
putera,putra
puteri,putri
puyo-puyo,puyu
puyu,puyuh
qalbu,kalbu
qalqalah,kalkalah
qasida,kasidah
qasidah,kasidah
qolbu,kalbu
rabik,rabit
rades,radis
radioaktifitas,radioaktivitas
ragbol,rakbol
ragut,renggut
rahsia,rahasia
raksamala,rasamala
raksi,rasi
ralip,galib
ram,eram
ramadhan,ramadan
rambang,rembang
rambih,rambeh
rame,ramai
rampis,ramping
ramulus,ramus
rana,ratna
ranai,rinai
rancah,rencah
randang,rendang
randih,rondah-rondih
rangda,randa
rangka,rengga
rangkas,ranggas
rangkun,rangkum
rangsel,ransel
rangsuk,rasuk
rangsum,ransum
ranguk,rango-rango
ranju,ranjau
ranjungan,rajungan
rantak,berantakan
rapih,rapi
rapot,rapor
rasan,rasam
rasia,razia
ratas,retas
rau,derau
rawah,rawa
rawang,rawa
rayun,rayu
reaktifitas,reaktivitas
real,rial
realita,realitas
rebet,ribut
rebo,rabu
rebok,rebuk
rebong,rebung
reda,rela
redah,reda
redang,radang
redap,redup
redas,redah
rejab,rajab
rejam,rajam
rejeki,rezeki
rekaat,rakaat
rekal,rehal
rekisitor,rekuisitor
rekisitur,rekuisitor
relatifitas,relativitas
relawan,sukarelawan
religiusitas,religiositas
rematik,reumatik
rematisme,reumatisme
rembat,rimbat
rembunai,remenia
rembus,embus
rempak,rampak
rempelu,empedu
rempong,rimpung
remuni,rembunai
rena,rona
renai,rinai
rencet,rentet
rencik,recik
rencis,renjis
rengah,engah
renggek,rengek
rengges,ranggas
rengka,rengga
rengkang,rangkiang
rengkiang,rangkiang
renjong,renjeng
rentak,rentak
rente,renten
renyai,rinai
reot,reyot
repah,rapah
repak,repas
repek,repet
repertorium,repertoar
repis,repih
repolper,revolver
republiken,republikan
residif,residivistis
resiko,risiko
resistensi,resistansi
resleting,ritsleting
respon,respons
resu,resi
retal,hartal
retet,rentet
retok,recok
retoris,retorik
rewan,rawan
reyal,rial
rho,ro
riadah,riadat
rialat,riadat
ricis,rincis
ridha,rida
ridho,rida
rido,rida
rihal,rehal
rihat,rehat
rimah,remah
rimbit,rembet
rimbu,rimba
rimih,rimis
rinci,perinci
rincian,perincian
rincih,rincis
rincuh,rincu
ringgik,renggek
rintak,rentak
rinyai,rinai
risih,risi
ritma,ritme
ritmik,ritmis
rituil,ritual
rizeki,rezeki
rizki,rezeki
rohaniawan,rohaniwan
rohmat,rahmat
rohulkudus,ruhulkudus
rois,rais
rojabiyah,rajabiah
romo,rama
rompang,rumpang
rongak,ronggang
ronggoh,rungguh
ronggok,rongkok
rongot,rungut
ronsen,rontgen
rosbang,resbang
roseng,rongseng
rosok,rongsok
rosot,perosot
rowa,rua
ru,eru
ruah,ruwah
rubah,ubah
rubanat,ruhbanat
rubayat,rubaiat
rubiah,riba
rubuh,roboh
rudah,ruadat
rugul,rogol
ruh,roh
ruhani,rohani
rukhiyah,rukiah
rukiat,rukiah
rukiyah,rukiah
ruku,rukuk
rukyah,rukyat
rum,harum
rumal,ramal
rumawi,romawi
rumenia,remenia
runggu,rungguh
rungkai,ungkai
rungsing,rongseng
rungsum,rumrum
runtak,ronta
runtuk,reruntuk
runyai,unyai
ruqiyah,rukiah
ruruh,luruh
ruyat,rukyat
ruyatulhilal,rukyatulhilal
saadat,saadah
sabak,sebak
saban,syakban
sabas,syabas
safaat,syafaat
safrah,seperah
sagai,sakai
sagar,sakar
sago,sagu
saguir,saguer
sagun,sagon
sah,syah
sahadat,syahadat
sahaja,saja
sahbandar,syahbandar
sahda,syahda
sahdan,syahdan
sahdu,syahdu
sahid,syahid
sahwat,syahwat
said,sayid
saidani,sayidani
saidi,sayidi
sait,sayat
sak,syak
sakaratulmaut,sakratulmaut
sakelat,sekelat
sakhlat,sekelat
saki,sake
sakit,tangan
saklar,sakelar
sal,syal
salada,selada
salap,salep
salasilah,silsilah
salawat,selawat
sale,salai
salih,saleh
saluang,salung
salwat,selawat
samadi,semadi
sambuk,sabut
sampi,sapi
sampurna,sempurna
samsu,syamsu
samudera,samudra
sana,angsana
sandal,sendal
sangkayan,sengkayan
sangkela,sangkala
sangking,saking
sangsekerta,sanskerta
sangsi,sanksi
sansekerta,sanskerta
sanskrit,sanskerta
santen,santan
santofil,xantofil
santron,satron
santu,santo
sanya,bahwasanya
saos,saus
sap,saf
sapa,safa
sapar,safar
saparatis,separatis
sapir,safir
sarahan,syarah
sarakah,serakah
sarani,serani
sarap,saraf
sarat,syarat
sardencis,sarden
sarekat,serikat
sarengat,syariat
sariat,syariat
sariawan,seriawan
saring,sering
sarip,syarif
saripah,syarifah
sarok,saruk
saru,seru
sarun,saron
sarwal,seluar
sasan,sasa
sasap,sesap
satir,satire
satria,kesatria
saur,sahur
savana,sabana
sayarah,siarah
sayat,sayet
sebak,sibak
sebet,sebat
sebih,tasbih
sebik,cebik
seceng,ceceng
secerek,sicerek
sedah,sadah
sedakap,sedekap
sedativa,sedatif
sedawa,serdawa
sedekala,sediakala
sedentair,sedenter
sederiah,sadariah
sedingin,sidingin
sedu,seduh
sedut,sedot
seg,sek
segi tiga,segitiga
seh,syekh
sehaja,sahaja
seharah,saharah
sekah,serkah
sekaker,sekakar
sekala,skala
sekedar,sekadar
sekema,skema
sekering,sekring
sekertaris,sekretaris
sekh,syekh
sekin,sikin
sekonar,sekunar
sekonyar,sekunar
sekors,skors
sekosol,sekesel
seksama,saksama
sekuik,naga
sela,sila
selaber,selabar
selamet,selamat
selampe,selampai
selampek,selampai
selampuri,selempuri
selan,sailan
selang,slang
selapa,selepa
selayut,selayun
sele,selai
selebriti,selebritas
selebritis,selebritas
selederi,seledri
seledup,seludup
selektifitas,selektivitas
selembada,selempada
selempukau,silempukau
selender,silinder
selendro,slendro
selengat,selangat
seleo,keseleo
selepang,selempang
selera,selira
selimbu,selibu
selimpang,selempang
selindit,serindit
seliu,keseleo
selobok,sobok
selodang,seludang
selon,sailan
selong,sailan
selosoh,selusuh
selular,seluler
selungkap,jelungkap
semak,simak
semakin,makin
semalakama,simalakama
semanda,semenda
semandarasa,semendarasa
semanja,semaja
semantung,sementung
sembab,sembap
sembar,sambar
semberani,sembrani
semberono,sembrono
sembilat,semilat
sembur,sembul
semedera,samudra
semedi,semadi
semejak,semenjak
semejana,semenjana
semek,demek
semilir,silir
sempana,sempena
sempoa,swipoa
semsem,sengsem
semudera,samudra
semuntu,simuntu
sen,sein
senario,skenario
senda,sanda
sendal,sandal
sendawa,serdawa
sender,sandar
sending,zending
senduduk,sekeduduk
senduk,sendok
senen,senin
senggah,sanggah
senggama,sanggama
senggara,selenggara
senggerahan,pesanggrahan
senggiling,tenggiling
sengingih,sengih
sengkek,singkek
sengkelat,sekelat
sengsai,sinse
sengsam,sengsem
seniwan,seniman
senjak,sejak
senjuang,lenjuang
sensifitas,sensitivitas
sensitifitas,sensitivitas
sental,sintal
sentap,sentak
sentausa,sentosa
senteri,santri
sentiabu,setiabu
sentiasa,senantiasa
sentimentil,sentimental
senting,santing
sentiung,sentiong
sentrum,sentra
senuhun,sinuhun
senuk,tenuk
senyak,senyap
sepakbor,sepatbor
sepanduk,spanduk
sepangkalan,sipangkalan
sepasan,sepesan
sepatung,sipatung
sepekuk,spekuk
seperitus,spiritus
sepet,sipit
sepih,serpih
sepilis,sifilis
sepion,spion
sepir,sipir
sepiritus,spiritus
sepoi,sipahi
sepon,spons
sepora,spora
seprei,seprai
sepui,sepoi
sepura,spora
serabai,serabi
serah,sirah
serampat,sengkelit
serana,sarana
serangguh,seranggung
serangkak,sirangkak
serapa,serapah
serawan,rawan
sereat,syariat
sereh,serai
serengam,sengam
serep,serap
seresah,serasah
serigunting,srigunting
serikandi,srikandi
serin,serina
seringih,seringai
seroda,seruda
serodok,seruduk
serok,seruk
serondeng,serundeng
serpa,serapah
serpai,serpih
serse,sersi
sertipikat,sertifikat
serual,seluar
seruni,serunai
sesembahan,sembahan
setagi,setagen
setaka,astaka
setakona,astakona
setambuk,stambuk
setambul,stambul
setandar,standar
setangga,tetangga
setasiun,stasiun
seteker,steker
setempel,stempel
seten,stengun
seterap,setrap
seteria,satria
seterik,setrik
seterika,setrika
seteriman,setirman
seterimin,setrimin
seterip,setrip
seterum,setrum
seterup,setrup
setewel,setiwel
setinggil,sitinggil
setinja,istinja
setip,step
setiwal,setiwel
setoker,stoker
setop,setup
setoples,stoples
setreng,streng
setrimin,strimin
setua,satwa
seturi,setori
sewah,sewar
shalat,salat
sholat,salat
sholawat,selawat
sholeh,saleh
sholeha,salihah
sholehah,salihah
siarat,siarah
siasah,siasat
sidekah,sedekah
sikeduduk,senduduk
sikejut,semalu
siketumbak,sikudomba
silaf,khilaf
silah,silsilah
silahkan,silakan
silap,khilaf
silaturahim,silaturahmi
silempukau,silampukau
simalu,semalu
simbolik,simbolis
simbukan,kesimbukan
simpor,simpur
sinandung,senandung
sinda,sanda
singgung,sigung
singkak,singkap
singkawang,tengkawang
singkeh,singkek
singsat,singset
singse,sinse
sintesa,sintesis
sintese,sintesis
sinting,senteng
siomay,siomai
sipai,sipahi
sipasin,sepasin
sipesan,sepesan
sipilis,sifilis
sipoa,swipoa
sirik,syirik
sirkit,sirkuit
sirkuit,untai
sirobok,serobok
sirup,sirop
sista,kista
sistim,sistem
sistin,sistina
sitar,siter
sitawar,setawar
siwa,syiwa
siwar,sewar
slamet,selamat
soes,sus
sojah,soja
soklat,cokelat
soko,saka
solat,salat
solawat,selawat
soldadu,serdadu
soleh,saleh
soleha,salihah
solehah,salihah
somay,siomai
sompak,sompok
sompeng,sompek
sondol,sundul
sontok,suntuk
soprano,sopran
sorban,serban
sorga,surga
sorgawi,surgawi
sotor,sotoh
soun,sohun
souvenir,suvenir
sowan,soang
sowang,soang
spakbor,sepatbor
span,sepan
spatbor,sepatbor
spedometer,spidometer
spirituil,spiritual
spodumen,spodumena
sportifitas,sportivitas
srempet,serempet
srikaya,serikaya
staff,staf
standard,standar
standarisasi,standardisasi
standart,standar
statik,statis
stek,setek
stemma,stema
sten,stengun
stepler,stapler
stereotip,stereotipe
stress,stres
strip,setrip
stromking,stormking
strongking,stormking
struk,setruk
sual,soal
sualak,solak
suarawati,swarawati
suarga,surga
suari,kasuari
subhat,syubhat
subyek,subjek
subyektif,subjektif
subyektivisme,subjektivisme
sudagar,saudagar
sudara,saudara
suduk,sodok
sudur,sodor
sugra,kiamat
suipoa,swipoa
suir,langsuir
sujadah,sajadah
suka ria,sukaria
sukduf,sekedup
sukini,zukini
sukur,syukur
sulalat,sulalah
suli,gandasuli
sulu,suluh
sulub,sulbi
sulup,selup
sumanda,semenda
sumangat,semangat
sumarak,semarak
sumatera,sumatra
sumbul,sumbur
sumpel,sumpal
sunat,sunah
sundel,sundal
sundik,sondek
sunglap,sulap
sungsum,sumsum
sunnah,sunah
supai,sipahi
supir,sopir
supit,sumpit
surban,serban
suris,surih
surung,sorong
survai,survei
survey,survei
sut,suten
sutera,sutra
suudzan,suuzan
swarga,surga
