tidak_baku,bentuk_baku
brangas,berangas
brangkas,brankas
brangus,berangus
bredel,beredel
breksi,breksia
brengsek,berengsek
brewok,berewok
bromocorah,bramacorah
brongkos,berongkos
brunai,berunai
budha,buddha
buhur,buhul
bujanggi,bujangga
bujur,mujur
bungkah,bongkah
bupet,bufet
buraksa,beraksa
burjusunbulat,sunbulat
burka,burkak
burun,buron
busar,busur
byarpet,biarpet
cacengklok,cecengklok
cadir,cadar
cakep,cakap
cakmar,cokmar
calempong,celempong
caling,colang-caling
calus,celus
cam,kecam
candan,kecandan
cangga,cenangga
cangkau,cengkau
cangkolan,cangkul
cangku,cengkau
cangkuk,cangkok
capcay,capcai
capiau,cepiau
caram,acaram
carat,carak
casis,sasis
catet,catat
cauk,caung
caya,cahaya
cebar-cebur,cebur
cecer,cecar
cecok,cekcok
cedal,cadel
cedera,cendera
cedong,cedok
cegas,cergas
cekalang,cakalang
cekap,cekak
cekek,cekik
cekeram,cengkeram
cekiber,cekibar
cekup,cekut
celaga,jelaga
celepa,selepa
celepak,celapak
celok,celuk
celos,celus
celum-celam,celam-celum
celupar,celopar
cembeng,cengbeng
cemek,cemeh
cemilan,camilan
cempana,jempana
cempelung,cemplung
cempeng,cempek
cempoa,swipoa
cempuling,tempuling
cencurut,celurut
cendera,candra
cendikia,cendekia
cendikiawan,cendekiawan
cendrawasih,cenderawasih
cenggek,tenggek
cengkau,cekau
cengkeling,sengkeling
cengkerma,cengkerama
cengkolong,cengkelong
cengkram,cengkeram
cengkrama,cengkerama
cengkuk,cengkok
centadu,sentadu
centigram,sentigram
centil,sentil
centimeter,sentimeter
cepal,cepol
cepit,jepit
ceracah,cerancang
cercak,ceracap
ceret,cerek
ceri,ceria
ceriga,curiga
ceritera,cerita
cerkas,cergas
ceronggak,ceranggah
cerotok,ceratuk
ces,cus
cetera,cerita
chlor,klorin
ci,taci
ciau,ciu
cicah,cecah
cicak,cecak
cici,cicit
cicih,cecah
cicir,cecer
cidera,cedera
cikalang,cakalang
cilap,cilok
cim,encim
cimpung,kecimpung
cingah,cingangah
cingbing,cengbeng
cingcau,cincau
cingcing,cincong
cingkau,cengkau
cinteng,centeng
ciok,ciak
ciplak,jiplak
cipoa,swipoa
citak,cetak
clurit,celurit
cocakrawa,cucakrawa
codang,codak
cokar,jogar
coklat,cokelat
colet,colek
congkelang,congklang
contek,sontek
cop,kecup
copar,cupar
copol,cupul
corek,curik
cotet,conet
cu,ciu
cukam,cekam
cukir,cungkil
culi,coli
cumbul,cembul
cunda,cucunda
cungak,cungap
cunguk,cecunguk
cunting,conteng
cup,kecup
cupit,sumpit
da'wah,dakwah
dabus,debus
dacing,dacin
dajjal,dajal
dakar,zakar
dakwat,dawat
daluwarsa,kedaluwarsa
dambun,dambin
dammah,damah
damping,dumping
dangak,dongak
daptar,daftar
